key,code,kor,kor2,kor6,eng7
윷점,개모모,개‧윷(모)‧윷(모),용이 뜻대로 얻음,뜻한 바를 이루어 크게 성공한다,You’ll achieve what you’ve planned and get a great success.
윷점,걸도도,걸‧도‧도,큰 고기가 물에 들어감,일을 성취하여 큰 재물을 얻는다,You will get great wealth after accomplishing your work.
윷점,걸도개,걸‧도‧개,염천(炎天)에 부채를 기증함,귀인의 도움으로 모든 일을 순조롭게 이른다,You’ll get all the things Done sMoothly with the help of a noble person.
윷점,걸도걸,걸‧도‧걸,새매와 매가 발톱이 없음,뜻한 일이 제대로 풀리지 않는다,What you plan to Do will not progress properly.
윷점,걸도모,걸‧도‧윷(모),구슬을 강 속에 던짐,사소한 실수로 힘들게 이룬 성과를 잃어버린다,You will lose your accomplishment because of your minor mistake.
윷점,걸개도,걸‧개‧도,용의 머리에 뿔이 남,모든 것이 제대로 이루어진다,All things will go right.
윷점,걸개개,걸‧개‧개,가난하고 또 천함,하는 일마다 이루지 못하니 살림살이는 어려워지고 체면도 깎인다,You will not succeed in whatever you Do. Your living will become poor and your face will be lost.
윷점,걸개걸,걸‧개‧걸,가난한 선비가 녹을 얻음,시험에 합격하거나 승진을 한다,You will pass a test or be proMoted at work.
윷점,걸개모,걸‧개‧윷(모),고양이가 쥐를 만남,모든 일이 뜻대로 이루어지고 재물이 들어온다,Everything will be Done as you plan and you’ll get rich.
윷점,걸걸도,걸‧걸‧도,물고기가 변하여 용이 됨,소원이 이루어지고 높은 관직에 오른다,Your wish will come true and you’ll be exalted to a high office.
윷점,걸걸개,걸‧걸‧개,소가 풀과 콩깍지를 얻음,재물이 많이 들어온다,Lots of wealth will be gained.
윷점,걸걸걸,걸‧걸‧걸,나무의 꽃이 열매를 이룸,뜻한 바가 드디어 결실을 맺는다,You will finally see the fruit of your effort.
윷점,걸걸모,걸‧걸‧윷(모),중이 속세로 귀환함,지금 하고 있는 일을 바꾸거나 주위 환경이 바뀐다,You will change the work you’re Doing or your surroundings.
윷점,걸모도,걸‧윷(모)‧도,나그네가 집을 생각함,일을 하는 중간 중군에 근심과 걱정이 생긴다,Your work will be interrupted by occasional worries and concerns.
윷점,걸모개,걸‧윷(모)‧개,말에 안장과 채찍이 없음,주위 환경과 사정이 여의치 않아 일을 이루지 못한다,You will not be able to complete your work because of your surroundings.
윷점,걸모걸,걸‧윷(모)‧걸,행인이 길을 얻음,손쉽게 뜻한 바를 이룬다,You will get what you want easily.
윷점,걸모모,걸‧윷(모)‧윷(모),해가 풀의 이슬을 비춤,하늘의 도움으로 뜻한 일을 이룬다,Heaven will help you accomplish your plan.
윷점,모도도,모‧도‧도,부모가 아들을 얻음,평소에 바라고 바라던 소원을 이룬다,You will have your long-cherished desire fulfulled.
윷점,모도개,모‧도‧개,공은 있으나 상이 없음,실속 없이 바쁘기만 하다,You will get busy with nothing gained.
윷점,모도걸,모‧도‧걸,용이 깊은 연못에 들어감,드디어 바라던 일을 이룬다,You will finally accomplish what you want.
윷점,모도모,모‧도‧윷(모),판수가 문에 다다름,역경을 딛고 모든 일을 성공적으로 이룬다,You will overcome the hardship and get everything Done successfully.
윷점,모개도,모‧개‧도,어둠 속에서 불을 봄,좋은 소식을 듣는다,Good news will reach you.
윷점,모개개,모‧개‧개,사람에 손‧팔이 없음,노력에 비해 결과가 좋지 않다,You will achieve less than you tried.
윷점,모개걸,모‧개‧걸,이(利)가 대인(大人)을 만남,큰 뜻을 가진 사람과 교류한다,You will exchange ideas with a person who has a great plan.
윷점,모개모,모‧개‧윷(모),각궁(角弓)에 활줄이 없음,일이 제대로 잘 풀리지 않는다,Things will not go well.
윷점,모걸도,모‧걸‧도,귓가에서 바람이 일어남,불길하고 나쁜 소리를 듣는다,You will hear ominous and terrible news.
윷점,모걸개,모‧걸‧개,어린애가 보배를 얻음,어린 나이에 많은 재물을 얻는다,You will gain a lot of wealth at a young age.
윷점,모걸걸,모‧걸‧걸,사람을 얻었다가 도로 잃음,대인관계를 신중히 하라,Be careful on your personal relationship.
윷점,모걸모,모‧걸‧윷(모),어지럽고 길하지 못함,어려운 상황에 처해 좋지 않은 일이 생긴다,"You will be in a predicament, and something bad will happen."
윷점,모모도,모‧윷(모)‧도,살 일이 아득함,모든 일이 제대로 이루어지지 않는다,Nothing will go right.
윷점,모모개,모‧윷(모)‧개,물고기가 낚싯바늘을 묾,뜻한 바가 순조롭게 이루어진다,What you’ve planned will come true without any trouble.
윷점,모모걸,모‧윷(모)‧걸,나는 새가 사람을 만남,뜻하지 않은 훼방꾼이 나타나거나 장애물을 만난다,You’ll be encountered by an unexpected disrupter or obstacles.
윷점,모모모,모‧윷(모)‧윷(모),형이 동생을 만남,따르는 사람들이 생긴다,You will have followers.
